name,failed,fiscal_year,fail_year,tic,gvkey,datadate,currency,current_assets,total_assets,cash_and_sti,depreciation_amortization,dividends,inventory,current_liabilities,liabilities_total,net_income,ppe_total,retained_earnings,sales,stockholder_equity,market_value,ggroup,gind,gsector
ALPHA NATURAL RESOURCES INC,1,2014,2015,ANRZQ,162448,42004,USD,1876.314,10736.148,1146.355,891.965,0,237.945,1009.549,7749.348,-874.961,8341.974,-4953.461,4287.078,2986.8,370.1288,1010,101020,10
BPZ RESOURCES INC,1,2014,2015,BPZRQ,162909,42004,USD,86.532,291.36,62.149,31.494,0,11.878,252.632,257.962,-107.906,165.971,-539.492,83.897,33.398,34.2919,1010,101020,10
MILLER ENERGY RESOURCES INC,1,2014,2015,MILLQ,66228,42124,USD,77.869,234.37,3.368,1.543,0,4.461,259.528,287.098,-443.094,129.664,-452.973,85.329,-52.728,33.8346,1010,101020,10
MOLYCORP INC,1,2014,2015,MCPIQ,7509,42004,USD,454.915,2575.986,211.685,131.105,2.846,169.323,110.054,1771.683,-604.934,1707.97,-1448.731,475.612,804.303,228.8072,1510,151040,15
QUICKSILVER RESOURCES INC,1,2014,2015,KWKAQ,118795,42004,USD,423.277,1214.302,223.529,61.126,0,8.269,2141.037,2352.173,-103.1,728.78,-1867.608,569.428,-1137.871,35.7472,1010,101020,10
SABINE OIL & GAS CORP,1,2014,2015,SOGCQ,184262,42004,USD,291.236,2438.35,3.252,204.727,0,0,2393.336,2502.142,-326.72,2066.068,-1648.718,464.723,-63.792,45.2196,1010,101020,10
SAMSON RESOURCES CORP,1,2014,2015,6188B,170620,42004,USD,336.581,5608.312,23.826,490.655,0,0,4366.877,5212.979,-1420.581,5132.812,-4085.18,1177.696,395.333,45.127,1010,101020,10
WALTER ENERGY INC,1,2014,2015,WLTGQ,15274,42004,USD,970.775,5386.129,468.532,277.943,2.625,201.598,421.609,5104.548,-470.568,4303.098,-1387.546,1407.345,281.581,99.3296,1510,151040,15
ARCH COAL INC,1,2015,2016,ARCH,14793,42369,USD,1203.782,5106.738,748.515,404.586,0,196.72,5564.791,6351.027,-2913.142,3619.029,-4246.782,2573.26,-1244.289,21.0087,1010,101020,10
BASIC ENERGY SERVICES INC,1,2015,2016,BAS,137024,42369,USD,224.969,1161.369,46.732,245.227,0,36.944,169.555,1055.031,-241.745,846.29,-256.812,810.099,106.338,113.088,1010,101010,10
BREITBURN ENERGY PARTNERS LP,1,2015,2016,BBEPQ,174656,42369,USD,588.327,4872.412,10.464,460.047,163.505,0.926,318.006,3466.517,-2583.339,3932.882,-2319.943,1108.715,1405.895,143.0109,1010,101020,10
C&J ENERGY SERVICES INC,1,2015,2016,CJ,186336,42369,USD,484.443,2232.906,25.9,287.279,0,102.257,290.868,1600.263,-872.542,1210.441,-366.327,1748.889,632.643,573.1992,1010,101010,10
CHAPARRAL ENERGY INC,1,2015,2016,CHAP,165556,42369,USD,255.831,1204.739,17.065,216.574,0,12.329,1778.262,1825.096,-1333.844,847.799,-1051.678,324.315,-620.357,96.038,1010,101020,10
ENERGY XXI LTD,1,2015,2016,EXXIQ,282189,42185,USD,968.923,4690.829,766.207,755.602,35.904,7.867,358.987,5419.551,-2433.838,3592.579,-2573.113,1405.452,-728.722,248.9111,1010,101020,10
HALCON RESOURCES CORP,1,2015,2016,HK,174169,42369,USD,556.593,3458.692,24.838,364.204,84.337,4.635,295.248,3222.292,-1922.621,2876.044,-3230.695,548.479,52.414,154.3802,1010,101020,10
HERCULES OFFSHORE INC,1,2015,2016,HEROQ,164607,42369,USD,410.203,1108.14,330.78,131.497,0,0,98.872,544.209,-626.163,465.497,-23.669,349.075,563.931,43.3761,1010,101010,10
KEY ENERGY SERVICES INC,1,2015,2016,KEG,11644,42369,USD,420.426,1327.798,204.354,180.901,0,29.395,154.483,1187.508,-917.701,880.032,-842.101,792.326,140.29,75.9515,1010,101010,10
LINN ENERGY INC,1,2015,2016,LNGG,164109,42369,USD,1558.875,9976.946,2.168,805.757,323.878,0,4293.716,10245.847,-4759.811,7536.713,-5927.923,2883.334,-268.901,457.9719,1010,101020,10
MIDSTATES PETROLEUM CO INC,1,2015,2016,MPO,170627,42369,USD,145.802,679.167,81.093,211.569,0.948,0,1984.56,2005.233,-1797.195,523.869,-2211.342,365.145,-1326.066,21.9493,1010,101020,10
PARAGON OFFSHORE PLC,1,2015,2016,PGNPQ,20967,42369,USD,1152.923,2383.865,776.571,339.268,0,0,283.889,2890.455,-999.643,1111.098,-1936.906,1492.428,-506.59,8.0864,1010,101010,10
PEABODY ENERGY CORP,1,2015,2016,BTU,142460,42369,USD,1378,11021.3,261.3,596.1,1.4,307.8,7392.3,10102.8,-1996,9258.5,-1122.3,5609.2,918.5,142.08,1010,101020,10
PENN VIRGINIA CORP,1,2015,2016,PVAC,8440,42369,USD,164.98,517.725,11.955,1736.578,22.789,2.878,1327.908,1432.846,-1582.961,344.395,-2129.849,263.963,-915.121,24.2714,1010,101020,10
SANDRIDGE ENERGY INC,1,2015,2016,SD,176899,42369,USD,674.088,2991.155,435.588,383.656,37.95,0,437.389,4178.888,-3697.545,2234.702,-6992.697,768.709,-1187.733,126.6942,1010,101020,10
SEVENTY SEVEN ENERGY INC,1,2015,2016,SVNT,190957,42369,USD,332.562,1902.618,130.648,300.044,0,18.553,157.085,1783.778,-221.391,1530.42,-232.524,1131.244,118.84,62.3679,1010,101010,10
STONE ENERGY CORP,1,2015,2016,SGY,28564,42369,USD,150.421,1410.169,10.759,307.676,0,0.535,159.224,1449.958,-1090.915,1241.275,-1687.671,544.649,-39.789,237.1769,1010,101020,10
TRIANGLE PETROLEUM CORP,1,2015,2016,TPLMQ,162941,42400,USD,191.487,753.148,115.769,124.93,0,0,217.192,1017.73,-822.34,497.859,-822.34,358.129,-264.582,34.4012,1010,101020,10
ULTRA PETROLEUM CORP,1,2015,2016,UPL,108645,42369,USD,110.661,971.486,4.258,401.2,0,4.269,3671.344,3963.423,-3207.22,859.989,-3493.811,985.912,-2991.937,383.14,1010,101020,10
AXALTA COATING SYSTEMS LTD,0,2014,0,AXTA,22134,42004,USD,1872.9,6252.8,386.8,329.7,0,538.3,946.7,5140.8,27.4,1514.1,-329.8,4391.5,1112,5979.396,1510,151010,15
CONTANGO OIL & GAS CO,0,2014,0,MCF,22053,42004,USD,31.04,843.415,0,191.792,0,2.166,97.015,275.949,-21.874,748.623,460.75,276.458,567.466,559.8875,1010,101020,10
DIAMONDBACK ENERGY INC,0,2014,0,FANG,170750,42004,USD,251.711,3095.481,30.683,172.597,0,2.827,266.729,1110.268,193.755,2791.807,196.268,495.718,1985.213,3400.7646,1010,101020,10
ERIN ENERGY CORP,0,2014,0,ERINQ,184652,42004,USD,31.831,638.443,26.639,23.903,0,1.089,136.341,304.438,-96.062,596.329,-444.954,53.844,334.005,466.8827,1010,101020,10
EXCO RESOURCES INC,0,2014,0,XCOOQ,7422,42004,USD,330.766,2356.896,70.275,278.314,40.895,0,365.371,1846.892,120.669,1738.281,-2984.86,660.269,510.004,594.0896,1010,101020,10
MCDERMOTT INTL INC,0,2014,0,MDR,7152,42004,USD,1508.114,3443.957,852.894,112.904,0,357.617,860.942,1904.843,-75.994,1643.096,-337.38,2300.889,1539.114,692.0271,1010,101010,10
GLOBAL BRASS & COPPER HLDGS,0,2014,0,BRSS,185344,42004,USD,450.5,576.5,44.6,15,3.2,189,144.5,550.5,31.7,103.5,-10.7,1711.4,26,280.8344,1510,151040,15
GRACE (W R) & CO,0,2014,0,GRA,5250,42004,USD,1690.9,4095.2,557.5,137.1,0,332.8,1182.1,3726.2,276.3,833.5,268.3,3243,369,6956.125,1510,151010,15
GULFPORT ENERGY CORP,0,2014,0,GPOR,26069,42004,USD,328.349,3632.393,142.34,267.877,0,0,398.723,1336.097,247.403,2890.619,466.838,670.762,2296.296,3575.2397,1010,101020,10
HAYNES INTERNATIONAL INC,0,2014,0,HAYN,23587,41912,USD,384.833,610.771,45.871,16.277,10.906,254.027,62.242,264.041,3.751,174.083,105.171,455.41,346.73,571.1038,1510,151040,15
HIGHPOINT RESOURCES CORP,0,2014,0,HPR,162459,42004,USD,426.105,2244.484,165.904,286.95,0,0,264.687,1214.996,15.081,1753.121,115.821,472.291,1029.488,548.0754,1010,101020,10
KOSMOS ENERGY LTD,0,2014,0,KOS,186276,42004,USD,1010.476,2972.766,570.757,208.628,0,55.354,448.771,1633.807,279.37,1784.846,-494.083,855.877,1338.959,3245.9903,1010,101020,10
JONES ENERGY INC,0,2014,0,JONEQ,18109,42004,USD,242.742,1993.228,13.715,189.317,0,0,229.999,1141.355,40.868,1642.908,38.682,380.597,851.873,144.3365,1010,101020,10
NEWFIELD EXPLORATION CO,0,2014,0,NFX,29173,42004,USD,940,9598,14,903,0,33,1101,5705,900,8414,2326,2288,3893,3724.3625,1010,101020,10
PACIFIC ETHANOL INC,0,2014,0,PEIX,163595,42004,USD,139.551,299.502,62.084,14.403,1.265,18.55,25.447,81.52,21.289,155.302,-512.332,1107.412,217.982,253.085,1010,101020,10
PACKAGING CORP OF AMERICA,0,2014,0,PKG,128978,42004,USD,1578.6,5348.5,124.9,390.8,157.5,664.9,611,3827.1,392.6,2895.6,1088.3,5852.6,1521.4,7677.6224,1510,151030,15
PARSLEY ENERGY INC,0,2014,0,PE,20298,42004,USD,204.161,2051.079,50.55,97.136,0,3.767,220.865,1058.59,23.429,1760.862,61.352,301.757,992.489,1498.6759,1010,101020,10
RPM INTERNATIONAL INC,0,2014,0,RPM,8902,42155,USD,2099.846,4694.24,244.011,99.176,136.179,674.205,903.236,3400.775,239.484,589.646,542.861,4594.55,1293.465,6664.1461,1510,151010,15
SEMGROUP CORP,0,2014,0,SEMG,184035,42004,USD,479.28,2589.802,47.578,102.029,44.206,43.532,391.662,1370.365,29.24,1256.825,-95.473,2122.579,1219.437,2997.3285,1010,101020,10
SENSIENT TECHNOLOGIES CORP,0,2014,0,SXT,11012,42004,USD,759.389,1765.206,20.329,51.456,47.893,449.409,224.905,718.271,73.646,495.567,1158.499,1447.821,1046.935,2861.6245,1510,151010,15
WARREN RESOURCES INC,0,2014,0,WRESQ,151632,42004,USD,27.12,818.68,1.845,57.454,0.01,0,57.77,526.128,24.03,773.118,-220.427,150.723,292.552,130.0139,1010,101020,10
WESTROCK CO,0,2014,0,WRK,29830,41912,USD,2432.5,11039.7,41.4,584.5,100.8,1029.2,1360.5,6718.6,479.7,5832.6,1465.6,9895.1,4307.4,6661.2,1510,151030,15
ERA GROUP INC,0,2015,0,ERA,187766,42369,USD,102.547,1007.091,14.37,48.362,0,27.994,32.082,530.984,8.705,859.216,40.594,281.837,471.303,228.5304,1010,101010,10
ATWOOD OCEANICS,0,2015,0,ATW,1860,42277,USD,607.675,4809.011,113.983,178.246,48.562,137.998,135.448,1861.841,432.573,4172.132,2669.42,1395.851,2947.17,957.5257,1010,101010,10
BRISTOW GROUP INC,0,2015,0,BRSWQ,8092,42460,USD,593.096,3271.862,104.31,136.812,38.076,142.503,392.69,1746.497,-73.94,2283.252,882.454,1715.513,1509.892,661.7648,1010,101010,10
CABOT OIL & GAS CORP,0,2015,0,COG,20548,42369,USD,144.786,5261.899,0.514,626.665,33.09,17.049,235.552,3252.711,-113.891,4976.879,1551.649,1357.15,2009.188,7321.4664,1010,101020,10
CARBO CERAMICS INC,0,2015,0,CRR,62686,42369,USD,285.277,836.369,78.866,54.457,14.666,104.558,70.29,194.063,-109.544,537.731,577.006,279.574,642.306,400.4332,1010,101010,10
CLAYTON WILLIAMS ENERGY INC,0,2015,0,CWEI,28296,42369,USD,68.805,1294.769,7.78,175.962,0,31.455,65.739,995.171,-98.196,1201.284,145.696,223.63,299.598,359.8669,1010,101020,10
CLOUD PEAK ENERGY INC,0,2015,0,CLDPQ,180635,42369,USD,244.186,1802.16,89.313,82.329,0,76.763,162.889,914.279,-204.9,1488.371,318.893,1124.111,887.881,127.2336,1010,101020,10
CNX RESOURCES CORPORATION,0,2015,0,CNX,120093,42369,USD,804.763,10929.902,72.578,653.764,33.281,97.438,1680.937,6074.126,-374.885,9669.377,2264.236,2922.037,4855.776,1809.5266,1010,101020,10
CORE LABORATORIES NV,0,2015,0,CLB,61759,42369,USD,238.547,625.258,22.494,27.457,94.235,40.906,120.758,648.957,114.847,143.211,208.669,797.52,-23.699,4607.9662,1010,101010,10
DELEK US HOLDINGS INC,0,2015,0,DK,166563,42369,USD,988.8,3324.9,302.2,139.3,37.1,307.6,759.7,1971,19.4,1521.1,668.2,5762,1353.9,1528.5702,1010,101020,10
DIAMOND OFFSHRE DRILLING INC,0,2015,0,DO,61409,42369,USD,669.595,7164.889,130.546,493.162,68.578,42.804,625.723,3052.119,-274.285,6378.814,2314.101,2419.393,4112.77,2894.0549,1010,101010,10
DORIAN LPG LTD,0,2015,0,LPG,317264,42460,USD,105.559,1865.926,46.412,45.091,0,2.288,88.128,880.327,129.688,1667.816,157.783,291.153,985.599,527.575,1010,101020,10
DRIL-QUIP INC,0,2015,0,DRQ,65671,42369,USD,1124.298,1428.25,381.336,30.477,0,344.458,100.815,103.792,192.008,294.251,1324.08,844.31,1324.458,2247.8377,1010,101010,10
ENERGEN CORP,0,2015,0,EGN,4351,42369,USD,246.34,4613.693,1.272,600.897,6.074,11.255,287.521,1717.833,-945.731,4302.332,2046.279,763.261,2895.86,3227.7166,1010,101020,10
ROYAL GOLD INC,0,2015,0,RGLD,9273,42185,USD,790.75,2925.432,742.849,93.486,56.715,0,24.973,509.505,51.965,2083.608,181.829,278.019,2415.927,4005.4441,1510,151040,15
FAIRMOUNT SANTROL HOLDINGS,0,2015,0,FMSA,185277,42369,USD,359.674,1368.959,171.486,73.634,0,70.494,85.676,1429.327,-92.135,870.997,387.351,828.709,-60.368,379.3676,1010,101010,10
FMC TECHNOLOGIES INC,0,2015,0,FTI.1,142811,42369,USD,3948.7,6437.9,916.2,251.6,0,744.6,2343.3,3907,393.1,1371.5,3364.7,6362.7,2530.9,6579.6131,1010,101010,10
FORUM ENERGY TECH INC,0,2015,0,FET,171059,42369,USD,717.812,1886.042,109.249,65.683,0,436.13,151.553,628.625,-119.353,186.667,498.104,1073.652,1257.417,1127.1316,1010,101010,10
FRANK'S INTL NV,0,2015,0,FI,17956,42369,USD,1023.736,1726.838,602.359,109.126,92.846,161.263,189.626,274.707,79.11,624.959,506.066,974.6,1452.131,2589.3867,1010,101010,10
SONOCO PRODUCTS CO,0,2015,0,SON,9815,42369,USD,1307.378,4020.269,182.434,213.161,139.2,385.483,922.516,2487.396,250.136,1112.036,1101.294,4964.369,1532.873,4125.5813,1510,151030,15
GREEN PLAINS INC,0,2015,0,GPRE,181269,42369,USD,912.577,1929.328,411.885,73.803,15.191,353.957,438.669,970.419,7.064,922.07,289.809,2965.589,958.909,867.681,1010,101020,10
GULFMARK OFFSHORE INC,0,2015,0,GLF,5379,42369,USD,86.997,1370.27,21.939,74.985,0,0,47.533,671.962,-215.235,1266.486,347.947,274.806,698.308,120.4486,1010,101010,10
HELIX ENERGY SOLUTIONS GROUP,0,2015,0,HLX,65006,42369,USD,684.035,2411.952,494.192,126.065,0,4.985,210.912,1132.989,-376.98,1603.009,333.398,695.802,1278.963,559.0801,1010,101010,10
HELMERICH & PAYNE,0,2015,0,HP,5581,42277,USD,1439.007,7152.012,793.518,607.741,298.07,128.729,351.228,2254.56,422.225,5567.235,4648.575,3165.441,4897.452,5093.1157,1010,101010,10
HOLLYFRONTIER CORP,0,2015,0,HFC,5667,42369,USD,1448.065,8388.299,210.552,346.151,247.489,841.869,860.615,2578.526,740.101,4115.662,3267.034,13237.92,5809.773,7189.5343,1010,101020,10
HORNBECK OFFSHORE SVCS INC,0,2015,0,HOS,150258,42369,USD,364.036,2984.416,259.801,118.704,0,0,85.545,1538.253,66.821,2574.661,697.762,476.07,1446.163,357.6909,1010,101010,10
MATRIX SERVICE CO,0,2015,0,MTRX,23195,42185,USD,381.769,568.331,79.239,23.48,0,88.844,267.56,283.777,17.157,85.063,188.468,1343.135,284.554,483.3415,1010,101010,10
NABORS INDUSTRIES LTD,0,2015,0,NBR,1661,42369,USD,1475.897,9537.84,274.589,975.732,69.363,153.824,1006.499,5243.972,-372.675,7027.802,3083.541,3864.437,4293.868,2392.8758,1010,101010,10
NACCO INDUSTRIES  -CL A,0,2015,0,NC,7938,42369,USD,361.434,655.408,52.499,24.769,7.296,165.016,191.746,454.27,21.984,132.539,194.301,915.86,201.138,222.183,1010,101020,10
LSB INDUSTRIES INC,0,2015,0,LXU,6528,42369,USD,332.697,1361.827,127.314,40.496,3.273,53.237,191.92,762.975,-34.765,1005.488,248.15,711.781,598.852,169.621,1510,151010,15
ALON USA ENERGY INC,0,2015,0,ALJ,163939,42369,USD,504.615,2176.138,234.127,130.089,38.402,105.515,425.921,1511.978,52.751,1380.202,112.393,4260.292,664.16,1053.0464,1010,101020,10
OASIS PETROLEUM INC,0,2015,0,OAS,184442,42369,USD,365.286,5649.375,9.73,522.031,0,11.072,370.568,3330.033,-40.248,5218.242,834.521,789.735,2319.342,1024.9901,1010,101020,10
OCEANEERING INTERNATIONAL,0,2015,0,OII,8079,42369,USD,1517.493,3429.536,385.235,241.235,106.454,328.453,615.956,1850.802,231.011,1266.731,2064.423,3062.754,1578.734,3671.2945,1010,101010,10
OIL STATES INTL INC,0,2015,0,OIS,142260,42369,USD,611.473,1599.138,35.973,132.037,0,212.882,154.2,343.466,28.592,638.725,1129.165,1099.977,1255.672,1388.4693,1010,101010,10
PBF ENERGY INC,0,2015,0,PBF,196159,42369,USD,3022.011,6105.124,944.32,207.004,106.584,1174.272,1495.506,4009.267,146.401,2356.638,-106.743,13123.929,2095.857,3599.3554,1010,101020,10
PATTERSON-UTI ENERGY INC,0,2015,0,PTEN,29108,42369,USD,486.536,4533.317,113.346,865.983,58.775,14.716,308.132,1972.186,-294.486,3920.708,2454.461,1891.277,2561.131,2219.2934,1010,101010,10
PDC ENERGY INC,0,2015,0,PDCE,8512,42369,USD,332.049,2370.543,0.85,316.591,0,0.6,301.332,1083.346,-68.28,1937.678,380.422,595.326,1287.197,2143.4739,1010,101020,10
PHI INC,0,2015,0,PHIKQ,8515,42369,USD,521.29,1430.332,286.93,71.618,0,69.491,76.132,803.334,26.924,887.097,320.554,804.228,626.998,257.9991,1010,101010,10
QEP RESOURCES INC,0,2015,0,QEP,154357,42369,USD,931.8,8425.5,376.1,889.3,14.1,13.3,641.6,4477.6,-149.4,7384.6,3405.9,2018.6,3947.9,2369.12,1010,101020,10
RANGE RESOURCES CORP,0,2015,0,RRC,6788,42369,USD,439.074,6900.031,0.471,628.862,27.083,25.6,351.72,4140.373,-713.685,6380.76,317.587,1596.93,2759.658,4166.8914,1010,101020,10
RENEWABLE ENERGY GROUP INC,0,2015,0,REGI,187692,42369,USD,475.584,1223.62,47.081,25.069,0,91.546,293.971,609.61,-151.392,574.584,165.671,1387.344,614.01,407.255,1010,101020,10
ROWAN COMPANIES PLC,0,2015,0,RDC,9258,42369,USD,921.275,8347.267,484.228,392.735,50.512,0,328.671,3574.808,93.311,7405.832,3310.407,2137.018,4772.459,2115.6651,1010,101010,10
RPC INC,0,2015,0,RES,8901,42369,USD,492.208,1237.094,65.196,29.652,33.602,128.441,107.464,284.813,-99.561,688.335,930.582,1263.84,952.281,2593.0425,1010,101010,10
SEACOR HOLDINGS INC,0,2015,0,CKH,26021,42369,USD,887.897,3185.419,668.209,145.772,0,24.768,200.16,1794.48,-68.782,1583.625,1121,1054.736,1390.939,901.6668,1010,101010,10
SM ENERGY CO,0,2015,0,SM,26013,42369,USD,518.989,5621.643,0.018,1043.974,6.772,0,302.525,3769.242,-447.71,4950.28,1546.113,1513.934,1852.401,1338.3742,1010,101020,10
TIDEWATER INC,0,2015,0,TDW,10565,42460,USD,1323.314,4990.547,678.438,182.309,34.965,33.413,2459.128,2684.993,-160.183,3551.291,2128.209,979.062,2305.554,321.4744,1010,101010,10
CVR ENERGY INC,0,2015,0,CVI,178672,42369,USD,1274.7,3305.8,765.2,166.9,173.7,289.9,484.8,1705.3,169.6,1967.1,-189.2,5432.5,1600.5,3416.7999,1010,101020,10
